"REF_DATE","GEO","DGUID","Airports","Type of power plant","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997","Canada","2016A000011124","Montréal/St-Hubert, Quebec","Turbo-propellers","Number","223","units","0","v41550968","1.20.2","3556","","","","0"
"1997","Canada","2016A000011124","Montréal/St-Hubert, Quebec","Piston engines","Number","223","units","0","v41550969","1.20.3","85752","","","","0"
"1997","Canada","2016A000011124","Montréal/St-Hubert, Quebec","Helicopters","Number","223","units","0","v41550970","1.20.4","6336","","","","0"
"1997","Canada","2016A000011124","Montréal/St-Hubert, Quebec","Gliders","Number","223","units","0","v41550971","1.20.5","110","","","","0"
"1997","Canada","2016A000011124","North Bay, Ontario","Jet engines","Number","223","units","0","v41550972","1.21.1","1100","","","t","0"
"1997","Canada","2016A000011124","North Bay, Ontario","Turbo-propellers","Number","223","units","0","v41550973","1.21.2","10830","","","t","0"
"1997","Canada","2016A000011124","North Bay, Ontario","Piston engines","Number","223","units","0","v41550974","1.21.3","6027","","","t","0"
"1997","Canada","2016A000011124","North Bay, Ontario","Helicopters","Number","223","units","0","v41550975","1.21.4","2588","","","t","0"
"1997","Canada","2016A000011124","North Bay, Ontario","Gliders","Number","223","units","0","v41550976","1.21.5","14","","","t","0"
"1997","Canada","2016A000011124","Oshawa, Ontario","Jet engines","Number","223","units","0","v41550977","1.22.1","150","","","","0"
"1997","Canada","2016A000011124","Oshawa, Ontario","Turbo-propellers","Number","223","units","0","v41550978","1.22.2","2699","","","","0"
"1997","Canada","2016A000011124","Oshawa, Ontario","Piston engines","Number","223","units","0","v41550979","1.22.3","30749","","","","0"
"1997","Canada","2016A000011124","Oshawa, Ontario","Helicopters","Number","223","units","0","v41550980","1.22.4","499","","","","0"
"1997","Canada","2016A000011124","Oshawa, Ontario","Gliders","Number","223","units","0","v41550981","1.22.5","16","","","","0"
"1997","Canada","2016A000011124","Ottawa/Macdonald-Cartier International, Ontario","Jet engines","Number","223","units","0","v41550982","1.23.1","59619","","","","0"
"1997","Canada","2016A000011124","Ottawa/Macdonald-Cartier International, Ontario","Turbo-propellers","Number","223","units","0","v41550983","1.23.2","25591","","","","0"
"1997","Canada","2016A000011124","Ottawa/Macdonald-Cartier International, Ontario","Piston engines","Number","223","units","0","v41550984","1.23.3","34110","","","","0"
"1997","Canada","2016A000011124","Ottawa/Macdonald-Cartier International, Ontario","Helicopters","Number","223","units","0","v41550985","1.23.4","3202","","","","0"
"1997","Canada","2016A000011124","Ottawa/Macdonald-Cartier International, Ontario","Gliders","Number","223","units","0","v41550986","1.23.5","24","","","","0"
"1997","Canada","2016A000011124","Pitt Meadows, British Columbia","Jet engines","Number","223","units","0","v41550987","1.24.1","61","","","","0"
"1997","Canada","2016A000011124","Pitt Meadows, British Columbia","Turbo-propellers","Number","223","units","0","v41550988","1.24.2","276","","","","0"
"1997","Canada","2016A000011124","Pitt Meadows, British Columbia","Piston engines","Number","223","units","0","v41550989","1.24.3","30833","","","","0"
"1997","Canada","2016A000011124","Pitt Meadows, British Columbia","Helicopters","Number","223","units","0","v41550990","1.24.4","2928","","","","0"
"1997","Canada","2016A000011124","Pitt Meadows, British Columbia","Gliders","Number","223","units","0","v41550991","1.24.5","34","","","","0"
"1997","Canada","2016A000011124","Prince George, British Columbia","Jet engines","Number","223","units","0","v41550992","1.25.1","7637","","","","0"
"1997","Canada","2016A000011124","Prince George, British Columbia","Turbo-propellers","Number","223","units","0","v41550993","1.25.2","15639","","","","0"
"1997","Canada","2016A000011124","Prince George, British Columbia","Piston engines","Number","223","units","0","v41550994","1.25.3","10779","","","","0"
"1997","Canada","2016A000011124","Prince George, British Columbia","Helicopters","Number","223","units","0","v41550995","1.25.4","6966","","","","0"
"1997","Canada","2016A000011124","Prince George, British Columbia","Gliders","Number","223","units","0","v41550996","1.25.5","41","","","","0"
"1997","Canada","2016A000011124","Québec/Jean Lesage International, Quebec","Jet engines","Number","223","units","0","v41550997","1.26.1","10772","","","","0"
"1997","Canada","2016A000011124","Québec/Jean Lesage International, Quebec","Turbo-propellers","Number","223","units","0","v41550998","1.26.2","37243","","","","0"
